,0
ctx-lh-bankssts,0.0
ctx-lh-caudalanteriorcingulate,1.0
ctx-lh-caudalmiddlefrontal,1.0
ctx-lh-cuneus,0.0
ctx-lh-entorhinal,1.0
ctx-lh-fusiform,1.0
ctx-lh-inferiorparietal,1.0
ctx-lh-inferiortemporal,1.0
ctx-lh-isthmuscingulate,1.0
ctx-lh-lateraloccipital,0.0
ctx-lh-lateralorbitofrontal,1.0
ctx-lh-lingual,1.0
ctx-lh-medialorbitofrontal,1.0
ctx-lh-middletemporal,1.0
ctx-lh-parahippocampal,1.0
ctx-lh-paracentral,0.0
ctx-lh-parsopercularis,0.0
ctx-lh-parsorbitalis,0.0
ctx-lh-parstriangularis,0.0
ctx-lh-pericalcarine,0.0
ctx-lh-postcentral,0.0
ctx-lh-posteriorcingulate,0.0
ctx-lh-precentral,1.0
ctx-lh-precuneus,0.0
ctx-lh-rostralanteriorcingulate,1.0
ctx-lh-rostralmiddlefrontal,1.0
ctx-lh-superiorfrontal,0.0
ctx-lh-superiorparietal,0.0
ctx-lh-superiortemporal,0.0
ctx-lh-supramarginal,0.0
ctx-lh-frontalpole,1.0
ctx-lh-temporalpole,1.0
ctx-lh-transversetemporal,0.0
ctx-lh-insula,2.0
Left-Cerebellum-Cortex,0.0
Left-Thalamus-Proper,2.0
Left-Caudate,0.0
Left-Putamen,1.0
Left-Pallidum,0.0
Left-Hippocampus,1.0
Left-Amygdala,1.0
Left-Accumbens-area,0.0
Right-Thalamus-Proper,2.0
Right-Caudate,0.0
Right-Putamen,2.0
Right-Pallidum,1.0
Right-Hippocampus,2.0
Right-Amygdala,2.0
Right-Accumbens-area,1.0
ctx-rh-bankssts,0.0
ctx-rh-caudalanteriorcingulate,1.0
ctx-rh-caudalmiddlefrontal,1.0
ctx-rh-cuneus,0.0
ctx-rh-entorhinal,0.0
ctx-rh-fusiform,1.0
ctx-rh-inferiorparietal,0.0
ctx-rh-inferiortemporal,2.0
ctx-rh-isthmuscingulate,1.0
ctx-rh-lateraloccipital,1.0
ctx-rh-lateralorbitofrontal,1.0
ctx-rh-lingual,1.0
ctx-rh-medialorbitofrontal,0.0
ctx-rh-middletemporal,2.0
ctx-rh-parahippocampal,1.0
ctx-rh-paracentral,0.0
ctx-rh-parsopercularis,0.0
ctx-rh-parsorbitalis,1.0
ctx-rh-parstriangularis,0.0
ctx-rh-pericalcarine,0.0
ctx-rh-postcentral,1.0
ctx-rh-posteriorcingulate,0.0
ctx-rh-precentral,1.0
ctx-rh-precuneus,1.0
ctx-rh-rostralanteriorcingulate,1.0
ctx-rh-rostralmiddlefrontal,0.0
ctx-rh-superiorfrontal,0.0
ctx-rh-superiorparietal,2.0
ctx-rh-superiortemporal,1.0
ctx-rh-supramarginal,1.0
ctx-rh-frontalpole,1.0
ctx-rh-temporalpole,2.0
ctx-rh-transversetemporal,0.0
ctx-rh-insula,2.0
Right-Cerebellum-Cortex,0.0
